a,b,c,d,e,f,i,g,h
개신동해장국,O,X,043-273-4546,대한민국 충청북도 청주시 서원구 모충로 16,"해장국, 내장탕",식당,36.62468297,127.4658177
겸하당,O,X,0507-1446-0599,충북 청주시 서원구 무심서로 413(모충동),"소금빵 2500원, 츄러스 4200원, 어니언크런치 6200원",카페,36.62866689,127.4820318
우리베이커리,O,X,0507-1323-7908,충북 청주시 서원구 대림로 413,,,36.60749446,127.4405703
샤브뜰 청주분평점,O,X,,,,,,
풍차쭈꾸미,O,X,,,,,,
다이너 청주점,O,X,0507-1497-7007,충북 청주시 상당구69번길 55,"비스큐 로제파스타 16000원, 봉골레 뻬셰 파스타 16000원",식당,,
타볼라,O,X,0507-1322-5082,충북 청주시 서원구 사운로46번길 21,"드라이에이징토마호크 15만원~, 드라이에이징 립아이 84000원",식당,,
카페하이,O,X,0507-1426-8854,충북 청주시 서원구 성화로 12,"아포카토 7500원, 아메리카노 6000원, 아인슈페너 7500원",카페,,
연게소문,O,X,043-291-2123,충북 청주시 서원구 수곡로57번길 32-2,"간장돌게장 17000원,상추쌈샤브샤브17000원,누드갈비 17000원",식당,,
호퍼,X,X,0507-1427-3362,,,,,
풀문,O,X,043-224-5162,충북 청주시 상당구 수암로 46-8,"세계최초 치즈빙수 9000원,하겐다즈말차초코빙수 9000원",카페,,
,,,,,,,,
샤브뜰 청주 분평점,O,X (일반 화장실에도 턱 있음),043-288-9413,충북 청주시 서원구 1순환로 1094,월남쌈 소고기샤브 16900원,식당,,
에이커,O,X,043-297-1162,대한민국 충청북도 청주시 용평로113번길 47,아메리카노 5000 바닐라라때 5800,카페,,
풍차쭈꾸미,O,X,043-255-3333,대한민국 충청북도 청주시 서원구 용평로113번길 23,쭈꾸미 볶음세트 12000,식당,,
후마니타스,O,X (지하1층에 넓은 화장실 이용),0507-1382-2527,대한민국 충청북도 청주시 흥덕구 비하동 571,아메리카노 A or B 6500,카페,,
로로삼계탕 청주명암타워점,O,O,0507-1497-0314,"청주시 상당구 명암로 32 레이크뷰 1층 102, 103호(용담동)","한방누룽지삼계탕 16000원, 한방녹두삼계탕 16000원",식당,,
홍익돈까스 청주용암점,O,X,043-288-7798,청주시 상당구 단재로 182(용암동),"홍익돈까스 14000원, 해물토마토파스타 15000원",식당,,
뜨굽지꼼장어,O(휠체어가 클 경우 가게 내에서 이동 불편),X,043-294-1237,청주시 상당구 용암북로84번길 4(용암동),"꼼장어 양념/소금 15000원, 소갈비살 15000원, 막창 12000원",식당,,
홍장군집,O,X,043-288-0496,청주시 서원구 수곡로 29-1(수곡동),"부속모둠 38000원, 모듬고기 38000원, 뽈살 30000원",식당,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
